TOPIC,TAXONOMY,CLASSIFICATION,GROUP,SUBGROUP,TIME_PERIOD,ESTIMATE,ESTIMATE_LCI,ESTIMATE_UCI,Barrier_Type
Delayed getting medical care due to cost among adults,Healthcare access and quality,Demographic Characteristic,Race and Hispanic origin,"All races, non-Hispanic",2023,6.7,6.3,7.1,Delayed Care
Delayed getting medical care due to cost among adults,Healthcare access and quality,Demographic Characteristic,Race and Hispanic origin,"All races, non-Hispanic",2024,8.3,7.8,8.7,Delayed Care
Delayed getting medical care due to cost among adults,Healthcare access and quality,Demographic Characteristic,Race and Hispanic origin,"Black only, non-Hispanic",2019,10.5,9.2,11.9,Delayed Care
Delayed getting medical care due to cost among adults,Healthcare access and quality,Demographic Characteristic,Race and Hispanic origin,"Black only, non-Hispanic",2020,8.3,7.1,9.6,Delayed Care
Delayed getting medical care due to cost among adults,Healthcare access and quality,Demographic Characteristic,Race and Hispanic origin,"Black only, non-Hispanic",2021,7.0,6.0,8.1,Delayed Care
Delayed getting medical care due to cost among adults,Healthcare access and quality,Demographic Characteristic,Race and Hispanic origin,"Black only, non-Hispanic",2022,7.0,6.0,8.1,Delayed Care
Delayed getting medical care due to cost among adults,Healthcare access and quality,Demographic Characteristic,Race and Hispanic origin,"Black only, non-Hispanic",2023,8.7,7.4,10.0,Delayed Care
Delayed getting medical care due to cost among adults,Healthcare access and quality,Demographic Characteristic,Race and Hispanic origin,"Black only, non-Hispanic",2024,8.7,7.4,10.0,Delayed Care
Delayed getting medical care due to cost among adults,Healthcare access and quality,Demographic Characteristic,Race and Hispanic origin,"White only, non-Hispanic",2019,8.1,7.6,8.6,Delayed Care
Delayed getting medical care due to cost among adults,Healthcare access and quality,Demographic Characteristic,Race and Hispanic origin,"White only, non-Hispanic",2020,6.9,6.5,7.4,Delayed Care
Delayed getting medical care due to cost among adults,Healthcare access and quality,Demographic Characteristic,Race and Hispanic origin,"White only, non-Hispanic",2021,7.0,6.5,7.4,Delayed Care
Delayed getting medical care due to cost among adults,Healthcare access and quality,Demographic Characteristic,Race and Hispanic origin,"White only, non-Hispanic",2022,6.2,5.8,6.7,Delayed Care
Delayed getting medical care due to cost among adults,Healthcare access and quality,Demographic Characteristic,Race and Hispanic origin,"White only, non-Hispanic",2023,6.5,6.0,7.0,Delayed Care
Delayed getting medical care due to cost among adults,Healthcare access and quality,Demographic Characteristic,Race and Hispanic origin,"White only, non-Hispanic",2024,8.5,8.0,9.1,Delayed Care
Delayed getting medical care due to cost among adults,Healthcare access and quality,Demographic Characteristic,Race and Hispanic origin,"Other races, non-Hispanic",2019,6.0,4.9,7.3,Delayed Care
Delayed getting medical care due to cost among adults,Healthcare access and quality,Demographic Characteristic,Race and Hispanic origin,"Other races, non-Hispanic",2020,4.4,3.4,5.7,Delayed Care
Delayed getting medical care due to cost among adults,Healthcare access and quality,Demographic Characteristic,Race and Hispanic origin,"Other races, non-Hispanic",2021,5.6,4.5,6.8,Delayed Care
