Year,Barrier_Type,Demographic_Group,Highest_Subgroup,Highest_Rate,Lowest_Subgroup,Lowest_Rate,Disparity_Gap
2022,Delayed getting medical care due to cost,Race,American Indian and Alaska Native and White,11.2,Asian only,4.3,6.8999999999999995
2022,Delayed getting medical care due to cost,Race and Hispanic origin,"All races, Hispanic, Mexican",11.3,"Other races, non-Hispanic",5.2,6.1000000000000005
2022,Delayed getting medical care due to cost,Sex,Female,7.8,Male,6.2,1.5999999999999996
2022,Delayed getting medical care due to cost,Sexual orientation,Bisexual,16.2,Straight,6.5,9.7
2022,Delayed getting medical care due to cost,Veteran status,Non-veteran,7.2,Veteran,4.0,3.2
2022,Delayed getting medical care due to cost,Metropolitan statistical area,Non-MSA,7.8,Small MSA,6.8,1.0
2022,Delayed getting medical care due to cost,Region,South,8.5,Northeast,5.5,3.0
2022,Delayed getting medical care due to cost,Social vulnerability,High social vulnerability,8.1,Little to no social vulnerability,5.9,2.1999999999999993
2022,Delayed getting medical care due to cost,Urbanicity,Nonmetropolitan,7.8,Large fringe metro,6.7,1.0999999999999996
2022,Delayed getting medical care due to cost,Education,No high school diploma or GED,11.5,College degree or higher,4.5,7.0
2022,Delayed getting medical care due to cost,Employment status,Employed - Part-time,8.0,Not employed - Has never worked,4.0,4.0
2022,Delayed getting medical care due to cost,Health insurance coverage: 65 years and older,Medicare only excluding Medicare Advantage,5.5,Private,2.0,3.5
2022,Delayed getting medical care due to cost,Health insurance coverage: Younger than 65 years,Uninsured,24.8,Private,5.7,19.1
2022,Delayed getting medical care due to cost,Poverty level,100% to <200% FPL,11.3,≥200% FPL,5.5,5.800000000000001
2022,No medical care due to cost,Age groups with 65 years and older,35-49 years,8.4,65 years and older,2.6,5.800000000000001
